source_file,source_line,original_label,new_label,confidence,human_label,evidence,summary
/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,117,inefficient_exploration,insufficient_cooperation,0.95,,"All 51 steps yielded zero reward despite agents performing individual 'load' actions, indicating a complete failure to coordinate and achieve the cooperative foraging objective.","Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 103, 'south': 10, 'north': 2, 'east': 24, 'west': 13, 'noop': 1} | Load action counts by agent: [35, 36, 32] | Mean absolute state change: 0.044444 | State variation: 2.464269"
/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,190,inefficient_exploration,insufficient_cooperation,0.95,,All 51 steps yielded zero reward because agents exclusively performed the 'load' action without any movement to reach foraging locations.,"Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 3, 'south': 22, 'load': 88, 'noop': 3, 'east': 34, 'west': 3} | Load action counts by agent: [28, 28, 32] | Mean absolute state change: 0.033333 | State variation: 2.967446"
/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,193,inefficient_exploration,insufficient_cooperation,0.95,,"Both agents exclusively performed the 'load' action for the entire episode without any movement or coordination, resulting in zero progress toward a cooperative objective.","Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 9, 'load': 73, 'north': 11, 'south': 6, 'west': 3} | Load action counts by agent: [36, 37] | Mean absolute state change: 0.038333 | State variation: 1.266613"
/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,65,inefficient_exploration,insufficient_cooperation,0.95,,"The agents spent the entire episode (51 steps) performing the 'load' action without any movement or coordination, resulting in zero progress toward a cooperative objective.","Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 19, 'noop': 2, 'west': 8, 'load': 60, 'east': 13} | Load action counts by agent: [27, 33] | Mean absolute state change: 0.046667 | State variation: 2.079789"
/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,99,inefficient_exploration,insufficient_cooperation,0.95,,"The agents failed to converge on a shared cooperative target, evidenced by zero positive rewards and a high frequency of non-cooperative actions like 'west' and 'north'.","Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 20, 'west': 38, 'load': 16, 'noop': 12, 'east': 12, 'south': 4} | Load action counts by agent: [11, 5] | Mean absolute state change: 0.076667 | State variation: 1.650895"
/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,23,inefficient_exploration,insufficient_cooperation,0.95,,"All 51 steps yielded zero reward despite agents performing load actions, indicating they failed to coordinate to successfully forage or deliver items.","Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'noop': 2, 'south': 30, 'load': 114, 'north': 2, 'west': 5} | Load action counts by agent: [34, 35, 45] | Mean absolute state change: 0.031111 | State variation: 2.567455"
/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,44,inefficient_exploration,insufficient_cooperation,0.95,,"The agents failed to converge on a shared foraging target, evidenced by zero positive rewards and a high frequency of non-cooperative movement actions (west, north) with minimal load actions relative to the episode length.","Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 25, 'east': 8, 'noop': 15, 'south': 2, 'west': 36, 'load': 16} | Load action counts by agent: [6, 10] | Mean absolute state change: 0.043333 | State variation: 1.633251"
/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,71,inefficient_exploration,insufficient_cooperation,0.95,,"The agents spent the entire episode (51 steps) with zero reward and minimal state change, indicating they failed to coordinate to perform the required cooperative foraging task.","Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 5, 'east': 53, 'load': 38, 'north': 5, 'noop': 1} | Load action counts by agent: [20, 18] | Mean absolute state change: 0.010000 | State variation: 2.209327"
/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,127,target_miscoordination,insufficient_cooperation,0.95,,"All 51 steps yielded zero reward despite agents taking 78 total actions, indicating a complete failure to coordinate and achieve the foraging objective.","Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 69, 'west': 17, 'load': 40, 'east': 21, 'north': 4, 'noop': 2} | Load action counts by agent: [7, 12, 21] | Mean absolute state change: 0.047778 | State variation: 2.639020"
/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,260,inefficient_exploration,insufficient_cooperation,0.95,,"The agents spent the entire episode (51 steps) performing load actions without any movement or state change, indicating a complete failure to cooperate to reach a foraging objective.","Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 9, 'west': 19, 'load': 68, 'east': 6} | Load action counts by agent: [33, 35] | Mean absolute state change: 0.050000 | State variation: 1.703636"
/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,108,inefficient_exploration,insufficient_cooperation,0.95,,"The agents spent the entire episode moving in unproductive directions (north/west) without executing the required 'load' action, indicating a complete failure to coordinate on the cooperative task.","Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 36, 'west': 32, 'load': 7, 'south': 3, 'noop': 23, 'east': 1} | Load action counts by agent: [3, 4] | Mean absolute state change: 0.026667 | State variation: 1.726499"
/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,206,inefficient_exploration,insufficient_cooperation,0.95,,"All 51 steps yielded zero reward despite agents repeatedly executing the 'load' action, indicating they failed to coordinate with the environment or each other to achieve the foraging objective.","Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 32, 'load': 100, 'east': 8, 'south': 3, 'west': 8, 'noop': 2} | Load action counts by agent: [41, 29, 30] | Mean absolute state change: 0.038889 | State variation: 2.619132"
/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,16,inefficient_exploration,insufficient_cooperation,0.95,,"All 51 steps yielded zero reward despite agents performing load actions, indicating they failed to coordinate to successfully forage or deliver items.","Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 16, 'west': 12, 'noop': 14, 'north': 3, 'south': 30, 'load': 78} | Load action counts by agent: [21, 29, 28] | Mean absolute state change: 0.052222 | State variation: 2.838551"
