sample_id,source_file,source_line,original_label,new_label,confidence,human_label,evidence,summary
,/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,1,inefficient_exploration,insufficient_cooperation,0.68,,"Only one or no agents executed load actions, indicating weak cooperative collection.","Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 16, 'north': 27, 'west': 29, 'noop': 25, 'east': 3, 'south': 2} | Load action counts by agent: [12, 4] | Mean absolute state change: 0.030000 | State variation: 1.758950"
,/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,2,inefficient_exploration,insufficient_cooperation,0.68,,"Only one or no agents executed load actions, indicating weak cooperative collection.","Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 64, 'noop': 9, 'south': 5, 'load': 22, 'north': 2} | Load action counts by agent: [12, 10] | Mean absolute state change: 0.020000 | State variation: 2.290491"
,/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,3,inefficient_exploration,insufficient_cooperation,0.68,,"Only one or no agents executed load actions, indicating weak cooperative collection.","Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 8, 'east': 45, 'load': 46, 'noop': 1, 'north': 2} | Load action counts by agent: [22, 24] | Mean absolute state change: 0.020000 | State variation: 2.389603"
,/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,4,inefficient_exploration,insufficient_cooperation,0.68,,"Only one or no agents executed load actions, indicating weak cooperative collection.","Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 57, 'noop': 2, 'south': 6, 'east': 32, 'north': 5} | Load action counts by agent: [25, 32] | Mean absolute state change: 0.028333 | State variation: 2.088708"
,/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,5,inefficient_exploration,inefficient_exploration,0.62,,"No positive reward events were observed, indicating ineffective exploration or failure to reach food.","Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'south': 32, 'load': 107, 'north': 11, 'west': 1, 'noop': 2} | Load action counts by agent: [36, 31, 40] | Mean absolute state change: 0.043333 | State variation: 2.883584"
,/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,6,inefficient_exploration,insufficient_cooperation,0.68,,"Only one or no agents executed load actions, indicating weak cooperative collection.","Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'north': 5, 'noop': 3, 'south': 42, 'east': 48, 'load': 3, 'west': 1} | Load action counts by agent: [1, 2] | Mean absolute state change: 0.031667 | State variation: 2.005261"
,/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,7,inefficient_exploration,insufficient_cooperation,0.68,,"Only one or no agents executed load actions, indicating weak cooperative collection.","Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 66, 'load': 26, 'south': 4, 'noop': 5, 'north': 1} | Load action counts by agent: [11, 15] | Mean absolute state change: 0.026667 | State variation: 2.029062"
,/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,8,inefficient_exploration,inefficient_exploration,0.62,,"No positive reward events were observed, indicating ineffective exploration or failure to reach food.","Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 39, 'south': 28, 'west': 32, 'load': 26, 'noop': 12, 'north': 16} | Load action counts by agent: [8, 9, 9] | Mean absolute state change: 0.104444 | State variation: 2.559397"
,/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,9,inefficient_exploration,insufficient_cooperation,0.68,,"Only one or no agents executed load actions, indicating weak cooperative collection.","Environment: lbforaging:Foraging-8x8-2p-2f-coop-v3 | Episode length: 51 | Number of agents: 2 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 89, 'east': 6, 'south': 3, 'west': 4} | Load action counts by agent: [44, 45] | Mean absolute state change: 0.020000 | State variation: 2.007873"
,/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,10,inefficient_exploration,inefficient_exploration,0.62,,"No positive reward events were observed, indicating ineffective exploration or failure to reach food.","Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'east': 7, 'load': 91, 'north': 46, 'west': 1, 'south': 6, 'noop': 2} | Load action counts by agent: [32, 28, 31] | Mean absolute state change: 0.031111 | State variation: 2.158105"
,/data/lab/AAAI_repo/results/phase2_full_semantic_20260704_175517/phase2_validation_records.jsonl,11,inefficient_exploration,inefficient_exploration,0.62,,"No positive reward events were observed, indicating ineffective exploration or failure to reach food.","Environment: lbforaging:Foraging-10x10-3p-3f-v3 | Episode length: 51 | Number of agents: 3 | Episode return: 0.0000 | Success threshold reached: not configured | Positive reward steps: 0 | Zero reward steps: 51 | Action histogram: {'load': 80, 'north': 22, 'east': 20, 'noop': 6, 'west': 12, 'south': 13} | Load action counts by agent: [26, 29, 25] | Mean absolute state change: 0.063333 | State variation: 2.102177"
