sample_id,human_label,human_confidence,human_notes
DV001,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV002,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV003,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV004,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV005,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV006,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV007,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV008,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV009,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV010,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV011,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV012,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV013,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV014,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV015,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV016,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV017,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV018,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV019,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV020,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV021,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV022,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV023,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV024,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV025,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV026,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV027,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV028,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV029,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV030,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV031,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV032,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV033,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV034,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV035,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV036,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV037,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV038,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV039,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV040,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV041,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV042,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV043,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV044,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV045,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV046,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV047,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
